gene	cellType.target	mean.target	cellType.2nd	mean.2nd	MeanRatio	MeanRatio.rank	MeanRatio.anno
Cyyr1	Endothelial	0.979241628850561	T cell	0.00131447510972866	744.96779863158	4	Endothelial/T cell: 744.968
Ptprb	Endothelial	0.981574548144294	Neutrophil	0.00139149315390678	705.410979125848	5	Endothelial/Neutrophil: 705.411
Ccl21a	Endothelial	2.48401882711181	T cell	0.00474277011908796	523.748519270313	6	Endothelial/T cell: 523.749
Mmrn1	Endothelial	1.65390150465284	B cell	0.00464270905937076	356.236301586598	7	Endothelial/B cell: 356.236
Apold1	Endothelial	1.42234800087572	Macrophage	0.0088627200684036	160.486621477137	8	Endothelial/Macrophage: 160.487
Ecscr	Endothelial	0.98018260952015	Stromal	0.00857330323699214	114.329632631079	9	Endothelial/Stromal: 114.33
Egfl7	Endothelial	1.29477559236893	Stromal	0.0143566548712899	90.1864399455751	10	Endothelial/Stromal: 90.186
Podxl	Endothelial	1.00391434205197	Epithelial	0.0293124852123816	34.2486941921906	11	Endothelial/Epithelial: 34.249
Cavin2	Endothelial	1.36180265622811	Stromal	0.0438419521506119	31.0616336505696	12	Endothelial/Stromal: 31.062
Cdh5	Endothelial	1.60154840561341	Stromal	0.0543031688426322	29.4927246373893	13	Endothelial/Stromal: 29.493
Lyve1	Endothelial	1.74585848479332	Macrophage	0.0620791239852872	28.1231172850811	14	Endothelial/Macrophage: 28.123
Aqp1	Endothelial	1.16808542260332	Stromal	0.0644374222951401	18.1274386994127	15	Endothelial/Stromal: 18.127
Kdr	Endothelial	1.07695901604313	Stromal	0.0600379793533355	17.9379623971855	16	Endothelial/Stromal: 17.938
Rapgef5	Endothelial	1.03608047388599	Epithelial	0.0580201524609937	17.8572518330168	17	Endothelial/Epithelial: 17.857
Tm4sf1	Endothelial	2.5329361480419	Epithelial	0.353904778082715	7.15711203947039	18	Endothelial/Epithelial: 7.157
Rasip1	Endothelial	1.08804716009513	Neutrophil	0.16527606607064	6.58321066058101	19	Endothelial/Neutrophil: 6.583
Gng11	Endothelial	1.42491409661025	Stromal	0.245289919770744	5.8091017272215	20	Endothelial/Stromal: 5.809
Sema6a	Endothelial	1.14871483405993	NKC	0.276550315547638	4.15372816257755	21	Endothelial/NKC: 4.154
Cd200	Endothelial	1.3334000890735	DC	0.327873173384623	4.06681667581664	22	Endothelial/DC: 4.067
Ece1	Endothelial	1.62102147348855	DC	0.415458525717288	3.90176485291729	23	Endothelial/DC: 3.902
Nrp2	Endothelial	1.16462188477744	Stromal	0.305088661617764	3.81732273694443	24	Endothelial/Stromal: 3.817
Pecam1	Endothelial	1.45289033137767	NKC	0.420007458178912	3.45920126675174	25	Endothelial/NKC: 3.459
Nfat5	Endothelial	2.13004041312135	Stromal	0.738426455007325	2.88456676853516	26	Endothelial/Stromal: 2.885
Nfib	Endothelial	1.45106699530369	Epithelial	0.513706927044443	2.82469812827375	27	Endothelial/Epithelial: 2.825
Cav1	Endothelial	1.12475868416842	Stromal	0.401047994708644	2.80454882958719	28	Endothelial/Stromal: 2.805
Timp3	Endothelial	2.15316048165755	Stromal	0.804542132800616	2.67625571598393	29	Endothelial/Stromal: 2.676
Ppfibp1	Endothelial	1.30222890181597	Stromal	0.498661193503469	2.61145025677019	30	Endothelial/Stromal: 2.611
Arl4a	Endothelial	0.996825663827769	Stromal	0.385062733794311	2.58873574704387	31	Endothelial/Stromal: 2.589
